PassengerId,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,title,Survived
1,3,1,22,1,0,0,7.25,137,2,11,0
2,1,0,38,1,0,5,71.2833,81,0,12,1
3,3,0,26,0,0,7,7.925,56,2,8,1
4,1,0,35,1,0,6,53.1,55,2,12,1
5,3,1,35,0,0,7,8.05,78,2,11,0
6,3,1,35,0,0,7,8.4583,56,1,11,0
7,1,1,54,0,0,6,51.8625,129,2,11,0
8,3,1,2,3,1,8,21.075,40,2,7,0
9,3,0,27,0,2,7,11.1333,56,2,12,1
10,2,0,14,1,0,6,30.0708,141,0,12,1
11,3,0,4,1,1,7,16.7,145,2,8,1
12,1,0,58,0,0,6,26.55,49,2,8,1
13,3,1,20,0,0,2,8.05,58,2,11,0
14,3,1,39,1,5,7,31.275,116,2,11,0
15,3,0,14,0,0,7,7.8542,116,2,8,0
16,2,0,55,0,0,6,16.0,123,2,12,1
17,3,1,2,4,1,6,29.125,86,1,7,0
18,2,1,34,0,0,7,13.0,47,2,11,1
19,3,0,31,1,0,6,18.0,103,2,12,0
20,3,0,19,0,0,7,7.225,134,0,12,1
21,2,1,35,0,0,7,26.0,74,2,11,0
22,2,1,34,0,0,7,13.0,111,2,11,1
23,3,0,15,0,0,7,8.0292,90,1,8,1
24,1,1,28,0,0,6,35.5,13,2,11,1
25,3,0,8,3,1,8,21.075,58,2,8,0
26,3,0,38,1,5,7,31.3875,34,2,12,1
27,3,1,28,0,0,6,7.225,36,0,11,0
28,1,1,19,3,2,7,263.0,63,2,11,0
29,3,0,19,0,0,7,7.8792,121,1,8,1
30,3,1,21,0,0,6,7.8958,101,2,11,0
31,1,1,40,0,0,5,27.7208,47,0,2,0
32,1,0,17,1,0,5,146.5208,41,0,12,1
33,3,0,16,0,0,6,7.75,140,1,8,1
34,2,1,66,0,0,4,10.5,47,2,11,0
35,1,1,28,1,0,5,82.1708,19,0,11,0
36,1,1,42,1,0,6,52.0,17,2,11,0
37,3,1,28,0,0,6,7.2292,35,0,11,1
38,3,1,21,0,0,3,8.05,102,2,11,0
39,3,0,18,2,0,6,18.0,103,2,8,0
40,3,0,14,1,0,6,11.2417,32,0,8,1
41,3,0,40,1,0,7,9.475,142,2,12,0
42,2,0,27,1,0,6,21.0,98,2,12,0
43,3,1,22,0,0,7,7.8958,94,0,11,0
44,2,0,3,1,2,6,41.5792,121,0,8,1
45,3,0,19,0,0,7,7.8792,120,1,8,1
46,3,1,21,0,0,5,8.05,20,2,11,0
47,3,1,26,1,0,6,15.5,145,1,11,0
48,3,0,21,0,0,6,7.75,24,1,8,1
49,3,1,26,2,0,7,21.6792,47,0,11,0
50,3,0,18,1,0,6,17.8,63,2,12,0
51,3,1,7,4,1,7,39.6875,116,2,7,0
52,3,1,21,0,0,6,7.8,31,2,11,0
53,1,0,49,1,0,5,76.7292,101,0,12,1
54,2,0,29,1,0,7,26.0,134,2,12,1
55,1,1,65,0,1,6,61.9792,23,0,11,0
56,1,1,28,0,0,7,35.5,71,2,11,1
57,2,0,21,0,0,5,10.5,75,2,8,1
58,3,1,28,0,0,6,7.2292,98,0,11,0
59,2,0,5,1,2,5,27.75,144,2,8,1
60,3,1,11,5,2,4,46.9,47,2,7,0
61,3,1,22,0,0,7,7.2292,98,0,11,0
62,1,0,38,0,0,6,80.0,21,2,8,1
63,1,1,45,1,0,7,83.475,80,2,11,0
64,3,1,4,3,2,7,27.9,87,2,7,0
65,1,1,28,0,0,5,27.7208,86,0,11,0
66,3,1,3,1,1,6,15.2458,31,0,7,1
67,2,0,29,0,0,5,10.5,142,2,12,1
68,3,1,19,0,0,7,8.1583,21,2,11,0
69,3,0,17,4,2,6,7.925,19,2,8,1
70,3,1,26,2,0,5,8.6625,120,2,11,0
71,2,1,32,0,0,4,10.5,145,2,11,0
72,3,0,16,5,2,4,46.9,57,2,8,0
73,2,1,21,0,0,6,73.5,78,2,11,0
74,3,1,26,1,0,7,14.4542,74,0,11,0
75,3,1,32,0,0,6,56.4958,103,2,11,1
76,3,1,25,0,0,7,7.65,140,2,11,0
77,3,1,28,0,0,7,7.8958,140,2,11,0
78,3,1,22,0,0,7,8.05,121,2,11,0
79,2,1,0,0,2,6,29.0,63,2,7,1
80,3,0,30,0,0,6,12.475,55,2,8,1
81,3,1,22,0,0,6,9.0,140,2,11,0
82,3,1,29,0,0,6,9.5,55,2,11,1
83,3,0,19,0,0,7,7.7875,98,1,8,1
84,1,1,28,0,0,6,47.1,116,2,11,0
85,2,0,17,0,0,6,10.5,62,2,8,1
86,3,0,33,3,0,6,15.85,128,2,12,1
87,3,1,16,1,3,7,34.375,32,2,11,0
88,3,1,30,0,0,9,8.05,94,2,11,0
89,1,0,23,3,2,7,263.0,63,2,8,1
90,3,1,24,0,0,6,8.05,145,2,11,0
91,3,1,29,0,0,6,8.05,78,2,11,0
92,3,1,20,0,0,7,7.8542,123,2,11,0
93,1,1,46,1,0,6,61.175,122,2,11,0
94,3,1,26,1,2,4,20.575,78,2,11,0
95,3,1,59,0,0,7,7.25,20,2,11,0
96,3,1,29,0,0,7,8.05,78,2,11,0
97,1,1,71,0,0,5,34.6542,12,0,11,0
98,1,1,23,0,1,5,63.3583,91,0,11,1
99,2,0,34,0,1,5,23.0,32,2,12,1
100,2,1,34,1,0,7,26.0,120,2,11,0
101,3,0,28,0,0,7,7.8958,87,2,8,0
102,3,1,27,0,0,6,7.8958,118,2,11,0
103,1,1,21,0,1,5,77.2875,98,2,11,0
104,3,1,33,0,0,7,8.6542,61,2,11,0
105,3,1,37,2,0,6,7.925,57,2,11,0
106,3,1,28,0,0,6,7.8958,144,2,11,0
107,3,0,21,0,0,7,7.65,63,2,8,1
108,3,1,21,0,0,6,7.775,32,2,11,1
109,3,1,38,0,0,7,7.8958,116,2,11,0
110,3,0,26,1,0,5,24.15,20,1,8,1
111,1,1,47,0,0,6,52.0,52,2,11,0
112,3,0,14,1,0,7,14.4542,87,0,8,0
113,3,1,22,0,0,7,8.05,116,2,11,0
114,3,0,20,1,0,7,9.825,103,2,8,0
115,3,0,17,0,0,6,14.4583,87,0,8,0
116,3,1,21,0,0,6,7.925,24,2,11,0
117,3,1,70,0,0,8,7.75,94,1,11,0
118,2,1,29,1,0,6,21.0,55,2,11,0
119,1,1,24,0,1,5,247.5208,36,0,11,0
120,3,0,2,4,2,7,31.275,141,2,8,0
121,2,1,21,2,0,6,73.5,142,2,11,0
122,3,1,20,0,0,5,8.05,57,2,11,0
123,2,1,32,1,0,6,30.0708,141,0,11,0
124,2,0,32,0,0,6,13.0,116,2,8,1
125,1,1,54,0,1,5,77.2875,98,2,11,0
126,3,1,12,1,0,6,11.2417,36,0,7,1
127,3,1,21,0,0,7,7.75,31,1,11,0
128,3,1,24,0,0,5,7.1417,94,2,11,1
129,3,0,4,1,1,7,22.3583,138,0,8,1
130,3,1,45,0,0,7,6.975,90,2,11,0
131,3,1,33,0,0,6,7.8958,118,0,11,0
132,3,1,20,0,0,8,7.05,118,2,11,0
133,3,0,47,1,0,4,14.5,141,2,12,0
134,2,0,29,1,0,6,26.0,47,2,12,1
135,2,1,25,0,0,3,13.0,56,2,11,0
136,2,1,23,0,0,6,15.0458,40,0,11,0
137,1,0,19,0,2,5,26.2833,107,2,8,1
138,1,1,37,1,0,6,53.1,55,2,11,0
139,3,1,16,0,0,7,9.2167,101,2,11,0
140,1,1,24,0,0,5,79.2,45,0,11,0
141,3,0,45,0,2,6,15.2458,40,0,12,0
142,3,0,22,0,0,7,7.75,61,2,8,1
143,3,0,24,1,0,7,15.85,75,2,12,1
144,3,1,19,0,0,6,6.75,137,1,11,0
145,2,1,18,0,0,6,11.5,35,2,11,0
146,2,1,19,1,1,4,36.75,120,2,11,0
147,3,1,27,0,0,7,7.7958,128,2,11,1
148,3,0,9,2,2,7,34.375,102,2,8,0
149,2,1,36,0,2,7,26.0,141,2,11,0
150,2,1,42,0,0,6,13.0,63,2,14,0
151,2,1,51,0,0,5,12.525,63,2,14,0
152,1,0,22,1,0,6,66.6,61,2,12,1
153,3,1,55,0,0,3,8.05,134,2,11,0
154,3,1,40,0,2,4,14.5,96,2,11,0
155,3,1,21,0,0,5,7.3125,31,2,11,0
156,1,1,51,0,1,5,61.3792,63,0,11,0
157,3,0,16,0,0,6,7.7333,87,1,8,1
158,3,1,30,0,0,9,8.05,80,2,11,0
159,3,1,36,0,0,6,8.6625,118,2,11,0
160,3,1,11,8,2,5,69.55,55,2,7,0
161,3,1,44,0,1,7,16.1,47,2,11,0
162,2,0,40,0,0,6,15.75,144,2,12,1
163,3,1,26,0,0,7,7.775,90,2,11,0
164,3,1,17,0,0,7,8.6625,62,2,11,0
165,3,1,1,4,1,7,39.6875,20,2,7,0
166,3,1,9,0,2,6,20.525,40,2,7,1
167,1,0,22,0,1,6,55.0,123,2,12,1
168,3,0,45,1,4,7,27.9,123,2,12,0
169,1,1,62,0,0,5,25.925,98,2,11,0
170,3,1,28,0,0,6,56.4958,90,2,11,0
171,1,1,61,0,0,6,33.5,18,2,11,0
172,3,1,4,4,1,6,29.125,78,1,7,0
173,3,0,1,1,1,7,11.1333,24,2,8,1
174,3,1,21,0,0,6,7.925,35,2,11,0
175,1,1,56,0,0,6,30.6958,14,0,11,0
176,3,1,18,1,1,7,7.8542,62,2,11,0
177,3,1,1,3,1,7,25.4667,20,2,7,0
178,1,0,50,0,0,5,28.7125,69,0,8,0
179,2,1,30,0,0,7,13.0,121,2,11,0
180,3,1,36,0,0,8,0.0,20,2,11,0
181,3,0,16,8,2,5,69.55,87,2,8,0
182,2,1,23,0,0,5,15.05,61,0,11,0
183,3,1,9,4,2,7,31.3875,61,2,7,0
184,2,1,1,2,1,6,39.0,144,2,7,1
185,3,0,4,0,2,6,22.025,40,2,8,1
186,1,1,61,0,0,6,50.0,9,2,11,0
187,3,0,24,1,0,8,15.5,121,1,12,1
188,1,1,45,0,0,6,26.55,116,2,11,1
189,3,1,40,1,1,8,15.5,71,1,11,0
